Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Time JD
1032,-10986,100,A,0.6701,0.9712,30.1,-85.5,48,213,136.0,164,2127127.300358796
1030,-10980,105,T,0.0378,1.041,8.0,-30.5,88,152,137.0,214,2127304.0954976855
1028,-10974,110,Am,-0.0469,0.9365,-4.8,-159.1,87,29,237.0,433,2127481.4433564814
1026,-10968,115,T,0.7471,1.0598,42.7,63.6,41,139,290.0,248,2127658.7573842593
1024,-10962,120,A,-0.7658,0.9336,-40.5,177.7,40,40,373.0,384,2127835.4324189816
1022,-10957,87,P,-1.2234,0.5854,-61.7,132.3,0,241,0.0,0,2127983.976909722
1022,-10956,125,P,1.4643,0.1367,61.1,126.5,0,95,0.0,0,2128013.4287847225
1021,-10951,92,P,1.2648,0.5104,62.3,91.0,0,307,0.0,0,2128160.1053935187
1020,-10950,130,P,-1.4527,0.1773,-61.1,75.7,0,77,0.0,0,2128189.5818171296
1019,-10945,97,A,-0.5578,0.9477,-47.3,-81.6,56,327,230.0,286,2128338.30037037
1017,-10939,102,T,0.4783,1.0663,45.6,126.8,61,207,246.0,290,2128514.699918981
1015,-10933,107,A,0.135,0.92,-12.4,-115.2,82,161,306.0,627,2128692.333993056
1013,-10927,112,T,-0.2594,1.0748,6.8,-148.0,75,15,251.0,406,2128869.4141319445
1011,-10921,117,A,0.8121,0.9292,31.0,-121.9,35,164,450.0,499,2129046.318645833
1009,-10915,122,P,-1.0377,0.9337,-64.5,-43.0,0,26,0.0,0,2129224.0530902776
1008,-10910,89,P,-1.3506,0.3531,-67.8,-170.9,0,172,0.0,0,2129371.0029166667
1007,-10909,127,P,1.4469,0.1867,64.9,144.7,0,158,0.0,0,2129400.5469560185
1006,-10904,94,A,0.8927,0.9508,83.9,5.6,26,141,406.0,207,2129548.8905324074
1004,-10898,99,T,-0.6511,1.0439,-60.4,130.5,49,13,194.0,181,2129725.6147337966
1002,-10892,104,A,0.1386,0.9484,27.4,30.9,82,172,192.0,384,2129902.9187499997
1000,-10886,109,T,0.0194,1.0336,-16.4,-94.2,89,191,113.0,194,2130080.2636342593
998,-10880,114,A,-0.6205,0.9777,-21.3,-2.9,51,348,101.0,154,2130257.0374305556
996,-10874,119,A,0.7478,0.9781,33.2,100.0,41,196,117.0,132,2130434.756400463
995,-10869,86,P,1.284,0.4736,71.8,-117.2,0,82,0.0,0,2130582.070474537
994,-10868,124,P,-1.3276,0.3929,-70.7,-109.5,0,314,0.0,0,2130611.446712963
993,-10863,91,P,-1.46,0.1802,-72.0,-170.0,0,86,0.0,0,2130759.239803241
992,-10862,129,P,1.506,0.1012,71.2,74.2,0,236,0.0,0,2130788.9558680556
991,-10857,96,T,0.5736,1.0588,31.6,84.2,55,159,235.0,287,2130936.7510300926
989,-10851,101,A,-0.7328,0.9449,-39.3,-102.0,43,22,295.0,348,2131113.247349537
987,-10845,106,Tm,-0.1313,1.0251,-13.1,-129.3,82,343,86.0,147,2131291.385543981
985,-10839,111,H,0.0391,1.0016,11.9,-169.3,88,195,6.0,10,2131467.4834837965
983,-10833,116,A,-0.8893,0.9581,-67.5,123.0,27,316,335.0,188,2131645.7889699074
982,-10827,121,T,0.7716,1.0497,61.4,20.4,39,209,259.0,199,2131822.020011574
980,-10822,88,P,1.4106,0.2676,68.1,-39.7,0,170,0.0,0,2131970.098252315
978,-10816,93,P,-1.0469,0.9294,-67.4,-151.5,0,4,0.0,0,2132147.4236689815
978,-10815,131,Pb,1.4666,0.1198,69.9,-109.5,0,326,0.0,0,2132176.7188541666
976,-10810,98,A,0.7027,0.9426,21.8,-40.3,45,181,298.0,430,2132324.1288425922
975,-10804,103,T,-0.3161,1.0193,5.0,2.1,72,357,69.0,129,2132502.008796296
973,-10798,108,H,-0.0228,1.0013,-25.0,-156.4,89,5,5.0,8,2132678.4456944442
971,-10792,113,A,0.4756,0.9664,51.8,-114.2,61,169,138.0,190,2132856.311782407
969,-10786,118,T,-0.693,1.0377,-65.9,-21.2,46,23,176.0,148,2133033.0188425924
967,-10780,123,P,1.2507,0.5336,64.5,80.5,0,26,0.0,0,2133210.365243056
966,-10775,90,P,1.3504,0.3528,61.9,-15.0,0,238,0.0,0,2133358.2106712963
965,-10774,128,P,-1.3531,0.3453,-64.0,-26.2,0,148,0.0,0,2133387.673229167
964,-10769,95,A,-0.8,0.9879,-34.5,52.1,37,330,69.0,68,2133534.9313773145
962,-10763,100,A,0.6986,0.9651,28.7,154.2,45,210,172.0,207,2133712.6309375
960,-10757,105,T,-0.016,1.0466,9.3,-146.1,89,331,155.0,244,2133889.417569444
958,-10751,110,A,-0.008,0.9324,-7.2,89.7,89,26,253.0,468,2134066.7525694445
957,-10745,115,T,0.7012,1.0639,43.9,-55.8,45,139,289.0,262,2134244.091539352
955,-10739,120,A,-0.7188,0.9328,-41.2,68.9,44,40,351.0,384,2134420.7360416665
953,-10734,87,P,-1.2495,0.538,-61.3,-0.4,0,250,0.0,0,2134569.3205439816
953,-10733,125,P,1.4291,0.2024,61.1,-3.1,0,86,0.0,0,2134598.7635069448
952,-10728,92,P,1.3223,0.4048,61.8,-29.2,0,298,0.0,0,2134745.413460648
951,-10727,130,P,-1.4007,0.2695,-60.9,-46.1,0,86,0.0,0,2134774.895289352
950,-10722,97,A,-0.5794,0.9473,-44.3,160.7,54,325,235.0,289,2134923.632037037
948,-10716,102,T,0.5423,1.0652,45.8,16.5,57,212,252.0,278,2135100.0169675928
946,-10710,107,A,0.117,0.9217,-10.6,127.9,83,158,298.0,594,2135277.6592708332
944,-10704,112,T,-0.191,1.072,8.6,99.0,79,19,238.0,382,2135454.72869213
943,-10698,117,A,0.7997,0.9329,30.9,114.0,37,159,410.0,459,2135631.6550578703
941,-10692,122,T,-0.9676,1.0179,-51.5,-147.8,14,25,248.0,85,2135809.353333333
939,-10687,89,P,-1.3503,0.3536,-66.7,47.1,0,184,0.0,0,2135956.3659259262
939,-10686,127,P,1.4383,0.201,63.9,6.9,0,148,0.0,0,2135985.9020254626
937,-10681,94,A,0.979,0.9459,78.0,124.5,11,360,1063.0,198,2136134.1617824077
936,-10675,99,T,-0.6557,1.043,-63.3,4.0,49,6,191.0,174,2136310.9827083335
934,-10669,104,A,0.2236,0.9504,34.5,-66.0,77,175,187.0,351,2136488.1877662037
932,-10663,109,Tm,0.0116,1.0297,-19.6,135.7,89,188,101.0,173,2136665.6252430556
930,-10657,114,A,-0.5447,0.9835,-13.5,-110.0,57,352,70.0,118,2136842.325381944
929,-10651,119,A,0.7362,0.9732,29.4,-27.2,42,191,141.0,171,2137020.1004745374
927,-10646,86,P,1.3272,0.3913,71.6,110.0,0,68,0.0,0,2137167.399791667
927,-10645,124,P,-1.2616,0.5159,-70.0,125.8,0,326,0.0,0,2137196.7569675925
925,-10640,91,P,-1.5037,0.1081,-72.0,66.7,0,100,0.0,0,2137344.5421064813
925,-10639,129,P,1.4859,0.1369,70.6,-55.8,0,223,0.0,0,2137374.2792476853
924,-10634,96,T,0.6143,1.0607,38.6,-40.8,52,157,251.0,282,2137522.089479167
922,-10628,101,A,-0.782,0.9431,-47.1,144.0,38,27,334.0,331,2137698.5488888887
920,-10622,106,T,-0.0971,1.0254,-6.9,107.9,84,342,87.0,150,2137876.7220254634
918,-10616,111,H,-0.0136,1.0021,4.9,75.7,89,18,7.0,13,2138052.797627315
917,-10610,116,A,-0.8615,0.9589,-60.8,-2.9,30,323,293.0,197,2138231.1145833335
915,-10604,121,T,0.7147,1.0504,52.9,-100.7,44,207,238.0,216,2138407.3432060187
914,-10599,88,P,1.4214,0.2491,69.1,-170.4,0,158,0.0,0,2138555.4283564813
912,-10593,93,P,-1.1194,0.7889,-68.4,85.4,0,14,0.0,0,2138732.733553241
911,-10592,131,P,1.4088,0.2324,70.7,121.9,0,314,0.0,0,2138762.04
910,-10587,98,A,0.7075,0.9459,23.5,-166.6,45,176,282.0,396,2138909.4721875004
908,-10581,103,H,-0.3949,1.0145,-0.8,-105.0,67,1,54.0,99,2139087.302662037
907,-10575,108,H,-0.0195,1.0046,-24.3,75.1,89,1,16.0,28,2139263.8059259257
905,-10569,113,A,0.3909,0.9645,46.6,151.7,67,176,140.0,215,2139441.5852314816
903,-10563,118,T,-0.6892,1.0387,-67.0,-145.0,46,12,180.0,152,2139618.3880324075
901,-10557,123,P,1.1642,0.6817,65.4,-25.5,0,17,0.0,0,2139795.631423611
900,-10552,90,P,1.3669,0.3233,62.6,-151.9,0,228,0.0,0,2139943.5651388885
900,-10551,128,P,-1.3507,0.35,-65.0,-168.3,0,159,0.0,0,2139973.039976852
898,-10546,95,A,-0.8658,0.9918,-38.7,-54.9,30,333,57.0,45,2140120.2283680555
897,-10540,100,A,0.721,0.9595,27.6,31.7,44,207,207.0,251,2140297.966053241
895,-10534,105,Tm,-0.0765,1.052,9.8,100.3,86,335,172.0,275,2140474.7346412037
893,-10528,110,A,0.0231,0.9286,-9.7,-23.9,89,208,268.0,506,2140652.0681249998
891,-10522,115,T,0.6479,1.0676,44.9,-171.9,49,141,286.0,278,2140829.419467592
890,-10516,120,A,-0.6802,0.932,-43.0,-42.7,47,40,339.0,384,2141006.047349537
888,-10511,87,P,-1.2835,0.4765,-61.0,-130.6,0,259,0.0,0,2141154.657210648
888,-10510,125,P,1.3867,0.2819,61.2,-130.1,0,77,0.0,0,2141184.091365741
887,-10505,92,P,1.3729,0.3118,61.4,-151.6,0,289,0.0,0,2141330.7281712964
886,-10504,130,P,-1.3568,0.3471,-60.9,-170.7,0,95,0.0,0,2141360.216678241
885,-10499,97,A,-0.607,0.9473,-41.6,44.2,52,323,240.0,292,2141508.9583564815
883,-10493,102,T,0.6024,1.0635,45.2,-95.7,53,216,258.0,266,2141685.337615741
882,-10487,107,A,0.095,0.9238,-8.4,12.0,85,155,288.0,559,2141862.9811921297
880,-10481,112,T,-0.125,1.0685,9.5,-14.4,83,23,225.0,355,2142040.0451273145
878,-10475,117,A,0.7839,0.9372,31.1,-9.0,38,155,367.0,413,2142216.989050926
877,-10469,122,T,-0.8994,1.0161,-41.6,105.0,26,25,125.0,82,2142394.6546064815
875,-10464,89,P,-1.3488,0.356,-65.7,-94.8,0,194,0.0,0,2142541.73056713
875,-10463,127,P,1.4274,0.2192,63.1,-130.1,0,138,0.0,0,2142571.255752315
874,-10458,94,P,1.0656,0.853,66.1,16.7,0,350,0.0,0,2142719.4318634258
872,-10452,99,T,-0.6593,1.0425,-64.8,-121.0,48,356,190.0,170,2142896.3518055556
870,-10446,104,A,0.3088,0.952,41.1,-161.5,72,180,185.0,319,2143073.456759259
869,-10440,109,T,0.0063,1.0262,-21.9,5.5,90,184,89.0,154,2143250.9886342594
867,-10434,114,A,-0.4656,0.9889,-6.3,144.3,62,356,44.0,81,2143427.611631945
865,-10428,119,A,0.7287,0.9687,26.5,-155.2,43,187,164.0,208,2143605.4475578703
864,-10423,86,P,1.3767,0.2964,71.1,-20.7,0,55,0.0,0,2143752.7243055557
864,-10422,124,P,-1.1912,0.6486,-69.1,2.6,0,338,0.0,0,2143782.0645138887
862,-10417,91,P,-1.5396,0.0494,-71.7,-58.7,0,114,0.0,0,2143929.8508564816
862,-10416,129,P,1.471,0.1634,69.7,173.3,0,210,0.0,0,2143959.6069212966
861,-10411,96,T,0.6623,1.0621,46.2,-163.9,48,155,271.0,273,2144107.4218171295
859,-10405,101,A,-0.8223,0.9415,-54.6,26.5,34,31,378.0,315,2144283.8584375
857,-10399,106,T,-0.0557,1.0254,-0.3,-12.7,87,342,87.0,152,2144462.0518402774
856,-10393,111,H,-0.0591,1.0023,-1.9,-41.8,87,18,8.0,15,2144638.1183796297
854,-10387,116,A,-0.8259,0.9599,-53.5,-124.9,34,329,256.0,208,2144816.4330787035
852,-10381,121,T,0.664,1.0504,44.9,137.1,48,205,222.0,229,2144992.671875
851,-10376,88,P,1.4375,0.2214,70.1,59.8,0,145,0.0,0,2145140.7539583333
849,-10370,93,P,-1.1895,0.654,-69.4,-38.8,0,26,0.0,0,2145318.04505787
849,-10369,131,P,1.3564,0.334,71.3,-8.8,0,301,0.0,0,2145347.3657060186
848,-10364,98,A,0.715,0.9499,26.1,67.7,44,172,262.0,354,2145494.8137499997
846,-10358,103,H,-0.4722,1.0091,-7.3,147.1,62,5,35.0,62,2145672.596967593
844,-10352,108,H,-0.0151,1.0084,-22.6,-53.4,89,357,29.0,51,2145849.1657407405
843,-10346,113,A,0.3064,0.962,40.5,55.9,72,182,145.0,246,2146026.85837963
841,-10340,118,T,-0.686,1.04,-66.6,91.5,46,1,185.0,158,2146203.757951389
840,-10334,123,P,1.0754,0.8336,66.4,-131.2,0,7,0.0,0,2146380.89625
838,-10329,90,P,1.3785,0.3027,63.4,69.7,0,219,0.0,0,2146528.923414352
838,-10328,128,P,-1.3507,0.3502,-66.0,48.7,0,169,0.0,0,2146558.4083796297
837,-10323,95,A,-0.9349,0.9946,-46.0,-160.4,20,334,53.0,28,2146705.522974537
835,-10317,100,A,0.7379,0.9544,26.7,-92.6,42,203,242.0,295,2146883.30505787
833,-10311,105,T,-0.1406,1.0567,9.5,-12.4,82,338,189.0,306,2147060.0493402774
832,-10305,110,A,0.0477,0.9253,-12.2,-139.2,87,205,282.0,545,2147237.3886574074
830,-10299,115,T,0.5906,1.0709,45.8,73.9,54,145,284.0,293,2147414.744212963
829,-10293,120,A,-0.6477,0.9313,-45.4,-156.0,49,39,332.0,384,2147591.3643634263
827,-10288,87,P,-1.3232,0.4045,-60.9,101.3,0,268,0.0,0,2147739.9882986112
827,-10287,125,P,1.339,0.3713,61.5,104.6,0,68,0.0,0,2147769.4142939816
826,-10282,92,P,1.4174,0.2298,61.2,83.9,0,280,0.0,0,2147916.048923611
826,-10281,130,P,-1.3197,0.4129,-61.1,62.2,0,104,0.0,0,2147945.544722222
824,-10276,97,A,-0.6431,0.9473,-39.3,-69.7,50,322,248.0,295,2148094.2768287035
823,-10270,102,T,0.6561,1.0612,44.1,149.2,49,219,263.0,255,2148270.663888889
821,-10264,107,A,0.0651,0.9264,-6.1,-101.5,86,152,277.0,526,2148448.2966087963
819,-10258,112,T,-0.0646,1.0645,9.3,-129.3,86,26,211.0,328,2148625.3658564817
818,-10252,117,A,0.7618,0.9421,31.6,-129.7,40,151,321.0,365,2148802.3184027774
816,-10246,122,T,-0.835,1.0126,-36.2,-4.6,33,28,77.0,66,2148979.9585416666
815,-10241,89,P,-1.3484,0.3564,-64.7,123.7,0,205,0.0,0,2149127.094907407
815,-10240,127,P,1.4121,0.2453,62.4,94.3,0,129,0.0,0,2149156.6063078707
813,-10235,94,P,1.1539,0.7004,65.1,-90.0,0,340,0.0,0,2149304.69974537
812,-10229,99,T,-0.6615,1.0426,-64.6,114.3,48,345,190.0,169,2149481.722291667
810,-10223,104,A,0.3966,0.9531,47.0,105.1,66,186,187.0,291,2149658.7241203706
809,-10217,109,T,0.0034,1.0234,-23.2,-125.0,90,172,80.0,137,2149836.353819445
807,-10211,114,A,-0.3843,0.9938,0.3,39.7,67,360,24.0,45,2150012.8971064817
806,-10205,119,A,0.725,0.9648,24.4,76.0,43,182,185.0,242,2150190.7975810184
804,-10200,86,P,1.4309,0.1916,70.4,-149.4,0,43,0.0,0,2150338.0451157405
804,-10199,124,P,-1.1176,0.7882,-68.1,-119.3,0,349,0.0,0,2150367.370150463
803,-10194,91,Pe,-1.569,0.0019,-71.1,174.3,0,127,0.0,0,2150515.1651157406
803,-10193,129,P,1.4605,0.1821,68.7,41.6,0,198,0.0,0,2150544.938425926
801,-10188,96,T,0.7156,1.0629,54.2,74.2,44,154,295.0,260,2150692.749664352
800,-10182,101,A,-0.8551,0.94,-61.7,-94.1,31,37,428.0,300,2150869.1746527776
798,-10176,106,T,-0.0073,1.0253,6.6,-131.2,90,341,86.0,153,2151047.375208333
797,-10170,111,H,-0.0971,1.0025,-8.3,-161.5,84,18,9.0,16,2151223.446087963
795,-10164,116,A,-0.7838,0.961,-46.0,116.4,38,334,225.0,219,2151401.7453125003
794,-10158,121,T,0.6196,1.05,37.6,13.3,51,203,210.0,239,2151578.0059837964
792,-10153,88,P,1.4582,0.186,70.9,-69.2,0,132,0.0,0,2151726.0755671295
792,-10152,126,Pb,-1.5356,0.0536,-72.0,165.4,0,265,0.0,0,2151755.8193402775
791,-10147,93,P,-1.2552,0.5283,-70.2,-164.7,0,38,0.0,0,2151903.3596643517
791,-10146,131,P,1.3096,0.4241,71.7,-141.7,0,287,0.0,0,2151932.6959953704
789,-10141,98,A,0.7267,0.9542,29.5,-57.2,43,167,242.0,308,2152080.1523263888
788,-10135,103,H,-0.5471,1.0031,-14.4,38.0,57,9,13.0,21,2152257.8924537036
786,-10129,108,H,-0.0073,1.0127,-19.8,178.5,89,354,44.0,77,2152434.5232060184
785,-10123,113,A,0.2244,0.959,33.9,-42.0,77,186,153.0,282,2152612.1330787037
783,-10117,118,T,-0.6802,1.0419,-64.4,-32.7,47,351,192.0,168,2152789.12537037
782,-10111,123,An,0.9892,0.9368,74.6,120.1,7,355,0.0,230,2152966.16375
780,-10106,90,P,1.3869,0.2883,64.3,-69.8,0,209,0.0,0,2153114.2838310185
780,-10105,128,P,-1.3505,0.3506,-67.1,-94.4,0,180,0.0,0,2153143.775798611
779,-10100,95,P,-1.0067,0.9797,-63.9,104.1,0,327,0.0,0,2153290.815960648
777,-10094,100,A,0.7503,0.95,26.2,141.7,41,198,274.0,338,2153468.6472453703
776,-10088,105,T,-0.2094,1.0609,8.3,-123.9,78,342,204.0,335,2153645.360462963
774,-10082,110,A,0.0659,0.9224,-14.4,103.7,86,202,294.0,585,2153822.7147222226
773,-10076,115,T,0.5264,1.0736,46.0,-37.2,58,149,280.0,310,2154000.0631597224
771,-10070,120,A,-0.6233,0.9308,-48.4,88.5,51,37,328.0,384,2154176.6888425928
770,-10065,87,P,-1.3708,0.3183,-61.0,-24.2,0,277,0.0,0,2154325.3121990743
770,-10064,125,P,1.2847,0.4732,62.0,-18.6,0,59,0.0,0,2154354.731087963
769,-10059,92,P,1.4555,0.1598,61.1,-42.7,0,271,0.0,0,2154501.3758912035
769,-10058,130,P,-1.2891,0.467,-61.4,-67.1,0,113,0.0,0,2154530.879178241
767,-10053,97,A,-0.6856,0.9474,-37.8,178.2,47,322,259.0,299,2154679.5893634264
766,-10047,102,T,0.7044,1.0585,42.8,31.5,45,220,267.0,245,2154855.9948611115
764,-10041,107,A,0.0292,0.9294,-3.8,146.9,88,151,265.0,494,2155033.6069560186
763,-10035,112,Tm,-0.0082,1.0598,8.4,114.6,90,31,197.0,301,2155210.689560185
761,-10029,117,A,0.7346,0.9475,32.3,111.4,43,148,276.0,318,2155387.6441782406
760,-10023,122,H,-0.7744,1.0082,-33.2,-115.4,39,30,43.0,43,2155565.2653703704
759,-10018,89,P,-1.3501,0.3528,-63.7,-16.9,0,215,0.0,0,2155712.458136574
758,-10017,127,P,1.3921,0.2801,61.8,-39.8,0,119,0.0,0,2155741.9535185187
757,-10012,94,P,1.2397,0.5528,64.2,163.0,0,331,0.0,0,2155889.9691898148
756,-10006,99,T,-0.6648,1.043,-63.1,-11.2,48,336,193.0,170,2156067.092337963
754,-10000,104,A,0.4833,0.9539,52.0,13.2,61,193,193.0,268,2156243.992650463
753,-9994,109,T,0.0008,1.0209,-23.6,104.7,90,3,71.0,122,2156421.7190046296
751,-9988,114,A,-0.3023,0.9981,6.0,-64.3,72,4,7.0,14,2156598.183148148
750,-9982,119,A,0.7228,0.9614,23.1,-52.9,44,178,203.0,270,2156776.148240741
749,-9977,86,Pe,1.4902,0.0765,69.6,83.8,0,31,0.0,0,2156923.3618750004
748,-9976,124,P,-1.0418,0.9331,-67.1,119.8,0,360,0.0,0,2156952.674733796
747,-9970,129,P,1.4531,0.1954,67.7,-90.3,0,186,0.0,0,2157130.2725462965
746,-9965,96,T,0.7748,1.0629,62.9,-46.7,39,151,327.0,243,2157278.0725694443
744,-9959,101,A,-0.8811,0.9389,-68.2,142.0,28,43,481.0,285,2157454.4973611115
743,-9953,106,T,0.0477,1.0248,13.6,112.7,87,165,84.0,149,2157632.6925925924
742,-9947,111,H,-0.1277,1.0026,-14.3,76.6,83,17,9.0,16,2157808.7807060187
740,-9941,116,A,-0.7326,0.9621,-38.1,1.4,43,339,200.0,232,2157987.049409722
739,-9935,121,T,0.5821,1.0491,30.9,-112.3,54,201,199.0,246,2158163.346365741
737,-9930,88,P,1.4855,0.139,71.5,163.4,0,119,0.0,0,2158311.3915625
737,-9929,126,P,-1.488,0.1327,-72.0,43.8,0,279,0.0,0,2158341.117314815
736,-9924,93,P,-1.3161,0.4129,-71.0,67.6,0,50,0.0,0,2158488.677858796
736,-9923,131,P,1.2695,0.5009,71.9,83.1,0,273,0.0,0,2158518.031875
735,-9918,98,A,0.7437,0.959,33.9,178.9,42,163,221.0,260,2158665.4870254635
733,-9912,103,A,-0.6176,0.9967,-22.0,-72.8,52,13,15.0,21,2158843.190810185
732,-9906,108,H2,0.0033,1.0174,-16.2,50.5,90,156,60.0,105,2159019.878784722
730,-9900,113,A,0.1439,0.9557,26.8,-141.4,82,190,163.0,321,2159197.4086921294
729,-9894,118,T,-0.6731,1.0443,-61.0,-159.1,47,344,200.0,181,2159374.492002315
728,-9888,123,A,0.9039,0.9409,83.6,-101.5,25,232,521.0,252,2159551.432523148
726,-9883,90,P,1.3933,0.2771,65.3,149.9,0,198,0.0,0,2159699.6458680555
726,-9882,128,P,-1.3491,0.3532,-68.1,122.4,0,191,0.0,0,2159729.142013889
725,-9877,95,P,-1.0802,0.8474,-64.8,-11.0,0,337,0.0,0,2159876.108217593
724,-9871,100,A,0.7592,0.9461,26.0,15.0,40,193,302.0,376,2160053.991828704
722,-9865,105,T,-0.2801,1.0643,6.0,124.6,74,346,219.0,362,2160230.6708333334
721,-9859,110,A,0.0809,0.9201,-16.2,-14.2,85,198,303.0,623,2160408.0433564815
719,-9853,115,T,0.4596,1.0755,45.5,-147.2,62,155,275.0,326,2160585.3802083335
718,-9847,120,A,-0.6037,0.9307,-51.4,-27.9,53,34,323.0,383,2160762.017986111
717,-9842,87,P,-1.4253,0.2196,-61.2,-147.4,0,286,0.0,0,2160910.629467593
717,-9841,125,P,1.225,0.5852,62.5,-140.1,0,50,0.0,0,2160940.0428009257
715,-9836,92,P,1.4869,0.1021,61.1,-171.8,0,262,0.0,0,2161086.709409722
715,-9835,130,P,-1.265,0.5097,-61.9,161.2,0,122,0.0,0,2161116.219907407
714,-9830,97,A,-0.7365,0.9473,-37.3,69.0,42,323,278.0,304,2161264.89412037
713,-9824,102,T,0.7458,1.0556,41.4,-89.5,42,220,270.0,235,2161441.332037037
711,-9818,107,Am,-0.0156,0.9326,-1.8,37.9,89,331,252.0,467,2161618.910034722
710,-9812,112,T,0.0409,1.0549,6.8,-3.7,88,208,181.0,276,2161796.019050926
708,-9806,117,A,0.7002,0.9534,33.2,-5.0,45,145,232.0,272,2161972.9647222226
707,-9800,122,H,-0.7186,1.0031,-31.9,132.6,44,32,15.0,16,2162150.5755902776
706,-9795,89,P,-1.3551,0.3431,-62.9,-156.5,0,225,0.0,0,2162297.8193171294
706,-9794,127,P,1.3664,0.3257,61.3,-172.3,0,110,0.0,0,2162327.29650463
705,-9789,94,P,1.3243,0.4078,63.3,56.2,0,321,0.0,0,2162475.2391087967
704,-9788,132,Pb,-1.5227,0.0639,-61.7,-8.8,0,63,0.0,0,2162504.8519907407
703,-9783,99,T,-0.6701,1.0439,-60.6,-137.9,48,328,197.0,174,2162652.460763889
702,-9777,104,A,0.5692,0.954,55.8,-77.1,55,202,204.0,251,2162829.262291667
701,-9771,109,T,-0.0018,1.019,-23.0,-25.5,90,355,65.0,110,2163007.0839583334
699,-9765,114,H,-0.2207,1.0018,10.8,-168.0,77,8,6.0,12,2163183.4703356484
698,-9759,119,A,0.7215,0.9585,22.5,178.1,44,173,217.0,291,2163361.4991550925
696,-9753,124,T,-0.9649,1.0434,-51.7,3.4,15,6,569.0,200,2163537.9792824076
695,-9747,129,P,1.4484,0.2039,66.6,137.5,0,175,0.0,0,2163715.6088541667
694,-9742,96,T,0.8394,1.062,72.4,-168.7,33,146,377.0,223,2163863.390775463
693,-9736,101,A,-0.9,0.9382,-74.2,14.8,25,51,533.0,273,2164039.8266898147
691,-9730,106,T,0.109,1.0239,20.7,-1.1,84,167,82.0,143,2164218.004328704
690,-9724,111,H,-0.1519,1.0029,-19.8,-47.0,81,16,10.0,18,2164394.1214467594
689,-9718,116,A,-0.6751,0.9629,-30.2,-110.8,47,343,180.0,245,2164572.3477893523
687,-9712,121,T,0.5513,1.048,24.8,120.3,56,198,190.0,251,2164748.6925810184
686,-9707,88,P,1.518,0.0828,71.8,37.1,0,105,0.0,0,2164896.702951389
686,-9706,126,P,-1.4344,0.2222,-71.7,-75.8,0,292,0.0,0,2164926.4101967593
685,-9701,93,P,-1.3723,0.3075,-71.5,-61.8,0,63,0.0,0,2165073.9994675927
685,-9700,131,P,1.2351,0.5664,71.9,-53.7,0,260,0.0,0,2165103.3721875004
683,-9695,98,A,0.7663,0.9641,39.1,56.0,40,159,200.0,213,2165250.817662037
682,-9689,103,A,-0.6832,0.9899,-29.9,174.6,47,17,48.0,62,2165428.4920717594
681,-9683,108,T,0.0204,1.0226,-11.7,-76.2,89,165,77.0,135,2165605.2294560187
679,-9677,113,Am,0.0686,0.952,19.4,117.0,86,192,176.0,361,2165782.688078704
678,-9671,118,T,-0.6613,1.047,-56.5,73.1,48,340,209.0,197,2165959.854363426
677,-9665,123,A,0.8225,0.9425,72.3,135.3,34,209,376.0,274,2166136.7052662037
676,-9660,90,P,1.4002,0.2653,66.3,9.4,0,188,0.0,0,2166285.007071759
676,-9659,128,P,-1.3445,0.3619,-69.1,-20.1,0,203,0.0,0,2166314.504710648
674,-9654,95,P,-1.1537,0.7138,-65.7,-126.7,0,346,0.0,0,2166461.4009027774
674,-9653,133,Pb,1.5337,0.0308,68.4,-137.2,0,346,0.0,0,2166490.849780093
673,-9648,100,A,0.7661,0.943,26.3,-112.3,40,189,327.0,408,2166639.337592593
672,-9642,105,T,-0.3546,1.067,2.6,13.7,69,350,234.0,384,2166815.9783796296
670,-9636,110,A,0.0907,0.9185,-17.4,-133.4,85,193,311.0,657,2166993.3760532406
669,-9630,115,T,0.3885,1.0767,43.9,104.3,67,161,269.0,343,2167170.693275463
668,-9624,120,A,-0.59,0.931,-54.2,-145.0,54,29,319.0,380,2167347.3524074075
667,-9619,87,Pe,-1.4863,0.1092,-61.5,91.7,0,295,0.0,0,2167495.9402546296
667,-9618,125,P,1.1607,0.7054,63.2,99.9,0,41,0.0,0,2167525.350034722
666,-9613,92,P,1.5111,0.0576,61.4,56.8,0,253,0.0,0,2167672.0496412036
665,-9612,130,P,-1.2474,0.5408,-62.5,27.2,0,131,0.0,0,2167701.5664930553
664,-9607,97,A,-0.7938,0.9471,-38.2,-38.0,37,324,310.0,309,2167850.192905092
663,-9601,102,T,0.7816,1.0525,40.2,147.0,38,219,272.0,226,2168026.673946759
662,-9595,107,A,-0.0663,0.9359,-0.0,-69.1,86,331,239.0,443,2168204.2082754625
660,-9589,112,T,0.0847,1.0496,4.7,-123.7,85,209,165.0,251,2168381.352650463
659,-9583,117,A,0.659,0.9596,34.3,-118.9,49,144,190.0,229,2168558.280300926
658,-9577,122,A,-0.6686,0.9977,-31.9,19.0,48,34,11.0,12,2168735.89025463
657,-9572,89,P,-1.364,0.3259,-62.3,65.2,0,234,0.0,0,2168883.177708333
656,-9571,127,P,1.3351,0.3818,61.0,56.8,0,101,0.0,0,2168912.635474537
655,-9566,94,P,1.4044,0.2713,62.6,-51.5,0,312,0.0,0,2169060.512106482
